0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	1.4
13	0
14	0
15	0
16	0.4
17	0
18	9.4
19	0
20	0
21	25.8
22	0
23	0
24	10.6
25	0
26	0
27	3.6
28	0
29	13
30	25.8
31	8
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0.2
45	0
46	12.6
47	0
48	1.2
49	0.8
50	0
51	5.8
52	0
53	0.4
54	0
55	2.2
56	1.6
57	0
58	0
59	0
60	0
61	0
62	0
63	0.2
64	2.4
65	0
66	0
67	0.6
68	11.6
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	3.2
77	11.6
78	0
79	0.6
80	0.2
81	0
82	0.2
83	0
84	0
85	2
86	7
87	0
88	0.2
89	0
90	0.2
91	0
92	0.4
93	0
94	68.6
95	0
96	0
97	0.2
98	0
99	0
100	1.4
101	0
102	0
103	0
104	9
105	6
106	0
107	0.2
108	0
109	0.6
110	0.2
111	0
112	0.2
113	8.6
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0.2
128	0.2
129	0
130	0
131	2.2
132	49.8
133	6.2
134	0.4
135	0
136	0
137	0
138	17.8
139	0
140	0
141	0.2
142	0
143	0
144	0
145	0
146	7.8
147	9.6
148	4.8
149	6.4
150	16.2
151	0
152	0
153	0
154	0.2
155	0
156	0
157	0
158	0
159	0
160	0
161	0.2
162	0
163	0
164	0
165	0
166	0
167	6
168	0
169	0
170	28.6
171	30.6
172	25.2
173	0
174	0
175	0
176	0
177	0
178	14.4
179	0
180	0
181	0
182	0
183	0
184	0
185	0.6
186	0
187	0
188	0
189	2.2
190	0
191	0
192	9.8
193	0.4
194	0
195	0.4
196	34.8
197	0
198	9.4
199	0
200	0
201	0
202	0
203	5.8
204	3.2
205	5.8
206	4.6
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	19.8
215	0
216	14.2
217	0
218	0
219	1
220	4.8
221	35.8
222	13.6
223	9.8
224	0
225	0
226	1.4
227	0
228	0
229	0
230	0
231	0
232	0
233	3.4
234	0.2
235	0.2
236	0
237	0
238	0
239	0
240	0
241	0.2
242	0.8
243	0.2
244	1.6
245	0
246	0
247	0
248	0
249	0
250	2.2
251	5
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	3.4
266	3.2
267	0
268	0
269	0
270	0
271	0
272	4.8
273	0.6
274	0
275	0
276	0
277	4.8
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0.2
287	0
288	1.4
289	7.8
290	5.8
291	3.8
292	0
293	0
294	0
295	1.4
296	5.4
297	0.2
298	1.2
299	1.2
300	0.4
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	10.4
311	4.4
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	32.8
330	8.8
331	0.2
332	0
333	0
334	0
335	0
336	6.2
337	0
338	79.2
339	0.2
340	3
341	0
342	0
343	2.4
344	0
345	0.8
346	0.8
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	26.6
355	2.6
356	15.2
357	6
358	0
359	3.6
360	0
361	2
362	10.8
363	2.2
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0.2
379	1.4
380	0
381	4.4
382	0.2
383	0.2
384	2.2
385	0
386	0
387	0
388	0
389	8
390	1
391	0
392	0.2
393	0
394	0
395	0
396	6.8
397	6
398	0
399	1.6
400	0
401	0.2
402	0
403	0
404	0
405	0
406	10.4
407	16.6
408	1
409	0
410	0
411	0
412	14.6
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	9.6
429	14.2
430	6.2
431	1
432	0.4
433	0
434	0.2
435	0.2
436	0
437	0
438	0
439	0
440	8.2
441	0
442	0
443	15.8
444	5.2
445	7.2
446	22.2
447	10.8
448	0.4
449	0
450	0.2
451	18.6
452	0.8
453	2.2
454	11.6
455	4.6
456	0
457	0
458	0
459	0
460	36.2
